start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,q1,q2,q2_3_text,q3_1,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q5_13,q5_14,q5_15,q5_16,q5_17,q5_18,q5_19,q5_20,q5_21,q5_22,q5_23,q5_24,q5_25,q5_26,q5_27,q5_28,q5_29,q5_30,q5_31,q5_32,q25,q25_5_text,q26,q26_9_text,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q23_11,q23_12,q23_13,q23_14,q23_15,q23_16,q23_17,q23_18,q23_19,q23_20,q23_21,q23_22,q23_23,q23_24,q23_25,q23_26,q23_27,q23_28,q23_29,q23_30,q23_31,q23_32,q23_33,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_7,q9_8,q9_9,q9_10,q9_11,q9_12,q9_13,q9_14,q9_15,q9_16,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,q10_13,q10_14,q10_15,q10_16,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q13
2019-07-25T17:16:22Z,2019-07-25T17:32:36Z,0,100,973,1,2019-07-25T17:32:37Z,R_3PN4kZRJTAsPzep,anonymous,EN-GB,64,2,NA,10,4,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,1,NA,2,NA,2,2,2,2,2,4,2,2,2,6,6,2,6,6,1,1,1,3,6,6,6,1,6,6,7,1,6,7,6,6,7,6,3,5,7,2,2,1,6,6,6,3,3,5,5,2,2,4,1,4,4,5,4,5,5,5,3,3,1,6,6,2,4,6,6,5,5,3,1,1,5,3,3,3,1,2,3,2,4,1,1,5,3,2,1,NA
2019-07-25T17:36:53Z,2019-07-25T17:59:44Z,0,100,1371,1,2019-07-25T17:59:45Z,R_p6EaLrzcp6264Vj,anonymous,EN-GB,63,2,NA,9,6,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,NA,2,NA,6,6,6,6,6,2,5,7,1,5,1,1,7,1,1,7,1,6,7,7,6,1,7,7,7,1,7,7,7,7,1,6,4,2,7,1,1,1,7,1,7,2,1,6,4,2,2,4,1,6,6,4,2,4,6,6,5,4,1,6,6,2,2,3,6,6,6,4,4,2,1,6,1,1,1,1,4,5,5,1,1,5,5,1,1,NA
2019-07-25T19:11:43Z,2019-07-25T19:28:20Z,0,100,996,1,2019-07-25T19:28:22Z,R_vk1iLKFC1HhXAIh,anonymous,EN-GB,31,2,NA,9,5,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,NA,3,NA,5,3,4,4,4,6,5,5,6,6,4,1,3,5,2,4,2,4,2,5,3,2,3,4,4,3,5,6,5,6,2,3,3,2,4,2,2,2,4,3,5,2,1,4,4,4,4,4,1,4,3,4,1,1,4,4,3,4,4,4,2,4,5,3,6,4,3,4,5,4,6,2,2,4,5,2,2,3,4,2,3,4,2,2,3,NA
2019-07-25T19:28:13Z,2019-07-25T20:03:25Z,0,100,2112,1,2019-07-25T20:03:26Z,R_3EaOEJMD6eyEZUQ,anonymous,EN-GB,32,2,NA,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,4,NA,2,NA,5,2,5,6,6,6,6,7,4,7,1,1,7,6,1,7,1,4,7,7,1,1,6,7,7,1,4,7,7,7,1,7,7,2,7,1,1,1,2,1,7,1,4,6,6,4,4,4,2,5,5,4,3,5,6,6,4,4,1,6,6,1,4,4,5,6,5,3,1,2,4,4,3,3,1,1,4,5,5,1,1,5,2,1,1,"Some of the questions were hard to answer as they needed more context to be able to give a certain response. I felt even though I feel strongly about these issues, i could have answered some questions with both strongly agree or strongly disagree depending on the context in which the statement was intended. Eg. Most environmental problems will solve themselves given enough time - yes, in the long term, over hundreds or thousands of years, but will humans be part of this? Probably not. Or do you mean short term? Meaning humans need to intervene because these will not solve ""themselves"".
Also for some there was no neutral response available so I was also not sure how to answer! There were about 4 or 5 questions I got really stuck on. 
"
2019-07-25T19:44:36Z,2019-07-25T20:08:44Z,0,100,1448,1,2019-07-25T20:08:44Z,R_3G6BoBGwLCOM42M,anonymous,EN-GB,50,2,NA,NA,5,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,2,NA,5,3,5,2,2,5,2,5,6,6,2,1,6,6,2,6,2,3,7,7,6,2,7,7,7,1,7,7,7,7,1,7,7,7,7,1,5,1,7,1,7,1,1,3,4,1,4,3,1,4,4,4,4,4,5,4,3,4,1,5,5,1,5,4,4,5,4,1,3,1,5,1,1,1,1,1,4,4,5,1,2,5,4,3,1,NA
2019-07-25T20:18:21Z,2019-07-25T20:29:12Z,0,100,651,1,2019-07-25T20:29:13Z,R_2AL7JNZhEhXCgYU,anonymous,EN-GB,33,2,NA,7,6,2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,NA,9,My belief in religion changes frequently.,7,5,5,5,NA,7,2,7,6,6,2,1,6,3,1,6,2,6,6,6,6,1,6,6,6,1,6,7,7,2,NA,5,6,3,6,4,6,1,5,2,7,2,2,6,6,4,4,4,2,6,6,6,3,6,NA,6,6,3,3,6,6,2,5,5,5,6,5,1,2,5,5,6,4,3,5,1,5,4,4,1,2,5,4,2,1,NA
2019-07-25T20:51:58Z,2019-07-25T21:08:49Z,0,100,1011,1,2019-07-25T21:08:50Z,R_VWjtSzAJUpMXTFf,anonymous,EN-GB,32,1,NA,3,5,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,3,NA,5,5,5,5,4,4,5,5,3,3,2,1,5,6,2,5,2,5,6,6,3,1,3,5,7,1,6,6,6,6,1,6,6,5,6,4,2,1,4,2,6,5,2,5,4,4,4,5,2,3,4,4,2,4,4,4,2,4,2,4,4,5,6,3,6,1,5,2,5,4,3,3,2,5,4,2,4,2,3,1,2,4,3,4,3,NA
2019-07-25T21:22:02Z,2019-07-25T21:34:54Z,0,100,771,1,2019-07-25T21:34:55Z,R_290IVKMFGLh6ki2,anonymous,EN-GB,62,2,NA,7,4,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,NA,3,NA,5,4,5,3,1,2,5,3,5,6,1,2,6,6,2,7,4,5,6,6,6,3,6,6,6,2,7,7,6,7,1,3,6,1,6,1,1,2,4,2,6,5,1,5,6,1,3,3,1,2,2,1,3,3,5,2,5,3,1,5,5,2,5,2,6,6,5,2,4,4,2,1,1,3,2,1,5,2,2,1,4,5,4,4,1,NA
2019-07-25T21:56:58Z,2019-07-25T22:11:40Z,0,100,882,1,2019-07-25T22:11:41Z,R_2P0W0bQbPWWj9WQ,anonymous,EN-GB,28,2,NA,3,5,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,1,NA,3,NA,3,3,3,6,6,1,1,6,7,7,2,2,7,4,1,6,2,2,6,6,4,1,3,3,7,1,7,7,6,7,1,1,4,1,7,1,1,1,1,1,6,3,1,5,6,1,2,1,1,4,5,1,2,3,6,6,2,3,1,6,6,1,2,3,6,5,5,2,1,1,2,4,2,2,3,1,4,3,3,3,1,3,3,1,1,NA
2019-07-25T22:21:09Z,2019-07-25T22:40:19Z,0,100,1149,1,2019-07-25T22:40:19Z,R_27eSJIsPPAUg8zH,anonymous,EN-GB,29,3,Non-binary,NA,5,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,NA,1,NA,5,4,4,2,3,5,4,4,5,4,5,3,7,6,2,6,1,2,7,6,7,5,6,7,7,3,4,6,6,7,2,4,6,7,7,1,3,3,5,2,7,2,1,5,5,2,1,1,3,5,5,5,2,4,5,5,3,4,1,5,4,1,2,3,4,5,6,2,1,1,2,5,4,3,1,1,4,3,3,2,2,3,2,2,2,"I feel like some of the wording was a little ambiguous, and other questions begged the question a bit much. Example: overpopulation isn't real; we could sustainably support 10 billion people on the planet, but capitalism makes that enterprise inefficient as hell"
